TransactionAmount,TransactionType,AccountBalance,TransactionDuration,LoginAttempts,BeneficiaryStatus,BankType,IsInternational,MerchantCategory,DebitChannel,IsKnownEntity,IsFraud
1921.354711259423,TRANSFER,16552.021757192153,84.09344316180596,1,known,same,local,utilities,pos,yes,0
3019.608782383113,CASH_OUT,86627.18049169774,252.60046305199208,1,known,same,local,utilities,pos,no,0
4967.2782652897595,PAYMENT,42433.591516426386,89.65360289143395,1,known,different,local,retail,atm,yes,0
4906.695449941616,CASH_OUT,79360.64742575232,97.71095749143727,1,known,same,local,entertainment,online,yes,0
297.8196256613899,TRANSFER,48841.34537354356,109.47700656174081,1,unknown,same,local,individual,pos,yes,0
1535.274245693765,TRANSFER,31486.732531075628,28.16464781637033,1,known,different,local,individual,atm,yes,0
2548.605398949099,PAYMENT,10868.64655657645,31.844110692791368,1,known,same,local,utilities,online,yes,0
4133.406698410825,DEBIT,77241.15087243031,206.1109391284732,1,known,same,local,entertainment,online,yes,0
41.65423753370378,CASH_OUT,97582.29890876559,127.4009028417793,2,unknown,same,local,entertainment,atm,yes,0
2388.0585915548554,PAYMENT,92434.4336700115,208.46196787762585,2,known,same,international,food,online,yes,0
2933.8410490275833,PAYMENT,28957.48844514641,195.9475991708471,1,known,same,local,entertainment,pos,no,0
1128.9974423555643,CASH_IN,5908.877419171932,48.821713392531464,1,known,same,local,utilities,online,yes,0
2769.8175129906012,CASH_OUT,28680.91248731395,106.52154092585931,2,known,same,local,entertainment,online,yes,0
1083.838178864489,TRANSFER,29400.75128183141,245.10971159917065,2,known,same,local,food,pos,yes,0
1644.4224863107263,TRANSFER,16670.88209629776,222.4518035872317,2,known,same,local,individual,atm,yes,0
76.23531159312834,PAYMENT,34140.75329994006,98.98329732086987,1,known,same,local,entertainment,atm,yes,0
3448.0614266206176,TRANSFER,83184.65391940794,88.14076517653672,1,known,same,local,food,pos,yes,0
3422.717487613696,DEBIT,43492.33190903776,59.86476366898296,2,known,same,local,individual,online,yes,0
4003.9069198783304,CASH_OUT,15110.405670603019,45.76544931863688,2,unknown,same,local,utilities,online,yes,0
4292.094112876724,CASH_OUT,86740.25475122345,272.9751526278386,2,known,same,local,utilities,atm,yes,0
3678.227518420557,CASH_OUT,19821.46397537209,164.3705254537369,1,known,same,local,utilities,online,yes,0
1108.9383070537713,PAYMENT,17729.65890125993,133.36589328230508,1,known,same,local,utilities,atm,yes,0
4539.678639708304,CASH_OUT,25511.683465881742,98.3553059046559,1,known,same,local,food,atm,yes,0
4001.6111031242876,PAYMENT,99299.65323022754,229.70743331547828,1,known,same,local,entertainment,atm,yes,0
4610.500516746012,CASH_OUT,21215.896278508622,232.71808790116992,2,known,same,international,utilities,pos,no,0
2751.6428823481665,CASH_OUT,13892.517687204792,59.291616724642864,1,known,same,international,individual,atm,yes,0
4505.434650069889,TRANSFER,83306.7914845468,195.5025107371396,1,unknown,same,local,entertainment,atm,yes,0
3593.7011784198626,CASH_OUT,84230.87761689161,168.01024268711632,1,known,same,local,entertainment,online,yes,0
4204.866819303161,DEBIT,6713.145185432107,47.2922871855333,1,known,same,local,food,online,yes,0
4424.212766146895,DEBIT,35823.416948610095,31.75570844652682,1,unknown,same,local,entertainment,pos,yes,0
4356.527952861003,PAYMENT,80263.70610788454,299.49845896288207,1,known,same,local,entertainment,atm,yes,0
1869.8235198996329,CASH_IN,56331.86041943789,234.94392460796314,1,known,same,local,entertainment,pos,yes,0
4478.744007957667,DEBIT,41902.82944570279,162.65147424876233,1,known,same,local,food,pos,yes,0
459.2035420812808,PAYMENT,14986.0305661523,190.02332704119473,2,known,different,local,food,pos,no,0
2625.742814966388,CASH_OUT,5216.702958088981,82.65454104377174,1,known,same,local,utilities,online,yes,0
